,accession_number,year,r,g,b
5337,T02209,1974,154,138,107
5338,T02233,1952,202,186,155
5339,T02254,1949,114,113,101
5340,T02255,1943,67,53,42
5341,T02304,1820,236,227,208
5342,T02315,1920,132,113,113
5343,T02407,1977,202,188,194
5344,T03034,1811,52,47,23
5345,T03063,1864,132,106,78
5346,T03160,,224,229,208
5347,T03168,1856,137,122,98
5348,T03193,1946,17,25,23
5349,T03204,1932,209,210,203
5350,T03205,1937,194,191,174
5351,T03233,1821,182,178,141
5352,T03300,1819,215,206,181
5353,T03309,1955,167,155,135
5354,T03313,1890,171,141,92
5355,T03322,1979,189,169,137
5356,T03336,1920,146,131,113
5357,T03340,1801,82,66,45
5358,T03345,1980,188,186,183
5359,T03346,1980,202,198,190
5360,T03358,1913,170,154,124
5361,T03367,1781,196,198,186
5362,T03570,1914,221,203,191
5363,T03571,1905,230,222,205
5364,T03601,1981,181,181,163
5365,T03602,1770,213,203,178
5366,T03603,1774,203,199,184
5367,T03663,1920,192,190,181
5368,T03664,1971,156,149,140
5369,T03694,1918,60,61,54
5370,T03801,1982,57,65,75
5371,T03804,1981,195,184,167
5372,T03820,1925,164,151,133
5373,T03857,1825,220,214,203
5374,T03905,1970,35,35,34
5375,T03951,1978,191,182,152
5376,T03975,1983,66,94,103
5377,T03976,1983,222,157,120
5378,T04139,1812,70,50,35
5379,T04150,1948,213,208,190
5380,T04155,1940,148,151,144
5381,T04156,1941,42,37,30
5382,T04160,1800,215,207,184
5383,T04172,1803,122,89,61
5384,T04173,,213,200,174
5385,T04188,,213,195,164
5386,T04189,,206,195,176
5387,T04190,,203,192,171
5388,T04191,,209,195,170
5389,T04197,,79,64,44
5390,T04198,,170,155,133
5391,T04199,,181,160,130
5392,T04200,,175,162,141
5393,T04201,,210,197,174
5394,T04204,,203,193,172
5395,T04207,,181,166,141
5396,T04208,,197,185,163
5397,T04209,,155,138,113
5398,T04212,,151,134,108
5399,T04216,,205,198,179
5400,T04217,,213,205,186
5401,T04223,,216,198,168
5402,T04230,,202,194,174
5403,T04231,,217,206,188
5404,T04232,,206,185,158
5405,T04233,,222,206,183
5406,T04239,,182,169,146
5407,T04240,,124,109,86
5408,T04241,,221,212,191
5409,T04242,,171,134,91
5410,T04243,,164,136,100
5411,T04244,,91,74,55
5412,T04245,1761,217,201,180
5413,T04246,1750,213,197,177
5414,T04247,1750,171,154,123
5415,T04248,1750,195,178,157
5416,T04249,1750,169,149,119
5417,T04250,,83,55,36
5418,T04251,,179,143,104
5419,T04252,,240,231,216
5420,T04253,,130,113,94
5421,T04254,,133,114,93
5422,T04255,,182,165,143
5423,T04256,,214,198,173
5424,T04257,,168,144,116
5425,T04258,,201,185,161
5426,T04259,,209,196,173
5427,T04261,,219,200,174
5428,T04263,,193,181,159
5429,T04264,,197,187,168
5430,T04267,1750,168,140,103
5431,T04268,1750,141,123,96
5432,T04273,1762,189,156,120
5433,T04284,1765,159,124,84
5434,T04285,,218,198,167
5435,T04286,,113,82,53
5436,T04287,,207,181,144
5437,T04288,,205,175,139
5438,T04293,,224,211,191
5439,T04294,1765,142,110,80
5440,T04295,,225,216,198
5441,T04296,,201,181,159
5442,T04297,,204,185,159
5443,T04298,,225,213,197
5444,T04300,1765,172,152,123
5445,T04301,,201,179,148
5446,T04302,,212,198,177
5447,T04303,,217,203,183
5448,T04304,,171,143,110
5449,T04306,,226,215,192
5450,T04307,,238,234,218
5451,T04309,,235,230,214
5452,T04310,,225,213,192
5453,T04311,,224,215,198
5454,T04318,,116,96,73
5455,T04319,1745,215,207,185
5456,T04368,1817,195,163,115
5457,T04369,,205,195,171
5458,T04844,1830,57,43,19
5459,T04845,1944,130,106,80
5460,T04852,1775,200,199,187
5461,T04853,1775,196,165,127
5462,T04934,1948,27,26,25
5463,T04937,1983,193,183,173
5464,T04938,1986,209,205,195
5465,T04998,1976,124,109,93
5466,T04999,1976,160,150,125
5467,T05000,1976,177,159,129
5468,T05011,1863,48,52,59
5469,T05018,1868,202,166,138
5470,T05020,1985,216,203,204
5471,T05041,1987,60,60,60
5472,T05210,1798,116,96,79
5473,T05212,1984,204,192,181
5474,T05213,1984,223,220,192
5475,T05469,1845,164,146,116
5476,T05471,1804,183,160,128
5477,T05472,,222,209,183
5478,T05473,,153,147,131
5479,T05474,,194,189,170
5480,T05477,,223,195,160
5481,T05478,,227,217,196
5482,T05479,,134,97,63
5483,T05480,,223,211,188
5484,T05481,,181,168,140
5485,T05483,1835,220,205,182
5486,T05503,1932,174,166,148
5487,T05518,1660,224,217,204
5488,T05525,1937,208,197,174
5489,T05559,1806,214,190,155
5490,T05700,1949,112,98,77
5491,T05703,1943,30,30,22
5492,T05716,1819,165,151,90
5493,T05719,1954,166,119,93
5494,T05745,1630,137,120,95
5495,T05758,1936,170,118,89
5496,T05759,1936,80,77,75
5497,T05760,1933,65,70,61
5498,T05764,1808,176,163,155
5499,T05810,1941,190,155,47
5500,T05811,1941,60,54,35
5501,T05812,1941,130,101,52
5502,T05815,,175,171,147
5503,T05829,1990,206,205,222
5504,T05830,1988,232,226,221
5505,T05831,1990,180,173,168
5506,T05832,1990,48,43,47
5507,T05835,1942,43,39,30
5508,T06446,1944,74,69,55
5509,T06450,1958,167,152,130
5510,T06457,1933,187,172,157
5511,T06458,1953,28,26,19
5512,T06484,1803,144,127,104
5513,T06500,1834,233,226,207
5514,T06606,1803,95,95,76
5515,T06636,1951,218,209,198
5516,T06667,1946,202,205,193
5517,T06671,1783,181,165,147
5518,T06795,1927,167,154,133
5519,T06797,1927,116,83,62
5520,T06798,1926,200,196,192
5521,T06831,1962,71,55,55
5522,T06836,1935,217,203,180
5523,T06837,1936,216,214,202
5524,T06839,1960,207,182,145
5525,T06840,1967,233,226,211
5526,T06843,1973,229,221,207
5527,T06844,1977,234,226,214
5528,T06845,1977,200,188,173
5529,T06848,1992,216,218,208
5530,T06855,1922,211,191,153
5531,T06911,1987,151,159,116
5532,T06913,1987,217,197,153
5533,T07011,1795,213,207,200
5534,T07022,,190,177,153
5535,T07023,,77,69,57
5536,T07024,,34,30,23
5537,T07115,1943,132,122,89
5538,T07134,1834,146,121,85
5539,T07213,1795,101,89,72
5540,T07260,1828,228,218,196
5541,T07347,,147,149,130
5542,T07348,,166,171,159
5543,T07503,1998,238,227,207
5544,T07561,1834,109,100,74
5545,T07696,1946,137,125,89
5546,T07794,,77,68,59
5547,T07814,1939,219,187,133
5548,T07819,1953,143,147,137
5549,T07828,1933,155,150,136
5550,T07830,1936,150,91,50
5551,T07831,1954,199,184,157
5552,T07832,1987,65,82,80
5553,T07834,1942,55,51,46
5554,T07878,,243,232,209
5555,T07879,1790,212,208,189
5556,T07881,1820,176,154,119
5557,T08000,,213,207,194
5558,T08005,,201,158,110
5559,T08006,,200,169,123
5560,T08007,,109,74,51
5561,T08008,,212,171,119
5562,T08009,,107,70,48
5563,T08010,,96,63,44
5564,T08011,,180,141,99
5565,T08012,,211,168,114
5566,T08013,,107,70,47
5567,T08014,,220,196,159
5568,T08015,,212,171,117
5569,T08016,,74,48,34
5570,T08017,,202,170,124
5571,T08018,,209,171,121
5572,T08019,,180,144,97
5573,T08020,,143,100,64
5574,T08021,,139,97,59
5575,T08022,,97,63,38
5576,T08023,,165,121,74
5577,T08024,,144,106,68
5578,T08025,,175,130,83
5579,T08026,,86,67,45
5580,T08027,,172,127,80
5581,T08028,,233,180,107
5582,T08029,,163,141,82
5583,T08030,,155,134,78
5584,T08031,,224,209,188
5585,T08032,,164,137,105
5586,T08033,,141,95,58
5587,T08034,,145,108,72
5588,T08035,,101,81,56
5589,T08036,,193,148,95
5590,T08037,,191,147,96
5591,T08038,,130,90,56
5592,T08039,,147,102,63
5593,T08040,,134,96,58
5594,T08041,,135,102,66
5595,T08042,,107,80,53
5596,T08047,,193,148,98
5597,T08053,,182,133,84
5598,T08054,,178,131,81
5599,T08055,,161,98,50
5600,T08056,,144,93,53
5601,T08057,1770,150,125,97
5602,T08062,,152,88,44
5603,T08079,,210,171,115
5604,T08080,,204,158,102
5605,T08081,,212,171,115
5606,T08082,,225,182,121
5607,T08083,,214,198,177
5608,T08084,,166,150,131
5609,T08085,,181,155,128
5610,T08086,,223,208,187
5611,T08087,,219,204,186
5612,T08088,,222,206,186
5613,T08089,,223,207,184
5614,T08090,,216,201,178
5615,T08091,,219,211,196
5616,T08092,,214,199,179
5617,T08093,,189,163,126
5618,T08094,,198,175,141
5619,T08095,1823,223,215,194
5620,T08096,1823,227,219,199
5621,T08097,1823,231,224,206
5622,T08098,1823,227,215,192
5623,T08099,1823,229,222,202
5624,T08100,1823,228,221,200
5625,T08101,1823,224,216,195
5626,T08102,1823,224,216,195
5627,T08103,1823,211,201,179
5628,T08104,1823,220,212,191
5629,T08105,1823,214,204,182
5630,T08106,1823,218,210,189
5631,T08107,1823,218,209,188
5632,T08108,1823,205,194,171
5633,T08109,1823,216,206,182
5634,T08112,1798,203,198,172
5635,T08113,1785,120,100,72
5636,T08114,1770,224,207,185
5637,T08115,1783,219,213,200
5638,T08116,1770,226,216,200
5639,T08117,1746,183,171,154
5640,T08118,1713,192,160,126
5641,T08119,1767,222,210,191
5642,T08120,1803,217,206,192
5643,T08121,1803,220,210,198
5644,T08122,,142,127,109
5645,T08123,1806,228,219,204
5646,T08124,1771,213,199,174
5647,T08125,1748,159,140,111
5648,T08126,1803,213,202,182
5649,T08127,1770,164,147,127
5650,T08128,1825,246,236,220
5651,T08129,1790,142,134,124
5652,T08130,1783,204,196,180
5653,T08133,1805,185,178,163
5654,T08134,,177,160,129
5655,T08135,,133,109,82
5656,T08137,1759,207,196,178
5657,T08138,1803,161,151,127
5658,T08139,1824,226,215,200
5659,T08140,1770,207,194,173
5660,T08141,1777,68,67,54
5661,T08143,1715,208,189,163
5662,T08144,1785,221,208,187
5663,T08145,1805,74,62,47
5664,T08146,1826,194,188,170
5665,T08147,1781,149,155,139
5666,T08149,1809,234,225,206
5667,T08166,1833,180,170,149
5668,T08167,,214,207,187
5669,T08168,,199,180,147
5670,T08169,,99,85,60
5671,T08171,,183,168,139
5672,T08172,1807,124,123,109
5673,T08173,1834,81,54,35
5674,T08175,1810,157,141,104
5675,T08176,,91,66,46
5676,T08177,,197,176,142
5677,T08178,,105,88,67
5678,T08179,,158,142,113
5679,T08180,,167,138,109
5680,T08181,,152,142,113
5681,T08182,,112,92,64
5682,T08183,1841,206,194,174
5683,T08184,1781,84,70,59
5684,T08185,,216,204,181
5685,T08186,1757,185,168,137
5686,T08187,1781,194,179,156
5687,T08188,1781,108,90,73
5688,T08189,1778,169,158,137
5689,T08190,,184,171,148
5690,T08191,,225,208,181
5691,T08192,,91,70,53
5692,T08193,,209,201,182
5693,T08194,1809,94,78,57
5694,T08195,1786,215,214,199
5695,T08196,,192,180,154
5696,T08198,,86,59,37
5697,T08199,,73,58,44
5698,T08200,,221,211,191
5699,T08201,,196,173,148
5700,T08202,1802,178,175,147
5701,T08203,,213,201,175
5702,T08205,,130,130,112
5703,T08206,,203,187,157
5704,T08207,,204,198,173
5705,T08209,1766,213,201,174
5706,T08210,1795,176,165,147
5707,T08213,,62,40,27
5708,T08214,,214,199,170
5709,T08215,,226,213,190
5710,T08216,,191,165,129
5711,T08217,,215,193,158
5712,T08218,,208,192,160
5713,T08220,,151,108,78
5714,T08221,1839,121,123,118
5715,T08222,1839,110,104,92
5716,T08223,1839,142,135,122
5717,T08226,,225,202,164
5718,T08227,,142,120,99
5719,T08228,,181,142,113
5720,T08230,,206,191,164
5721,T08231,1776,212,198,174
5722,T08232,,229,219,196
5723,T08234,1789,239,232,220
5724,T08236,1800,209,196,167
5725,T08237,1801,74,58,39
5726,T08240,1770,139,99,58
5727,T08245,1802,104,87,59
5728,T08248,1803,169,149,118
5729,T08249,1806,168,161,142
5730,T08250,1781,100,104,83
5731,T08251,,238,229,210
5732,T08252,,166,149,125
5733,T08253,,195,186,168
5734,T08254,1757,81,69,51
5735,T08255,,208,201,180
5736,T08256,1740,125,87,54
5737,T08258,,101,96,69
5738,T08261,,203,198,179
5739,T08262,1786,104,93,76
5740,T08263,1783,210,195,163
5741,T08264,1783,210,196,164
5742,T08265,1783,203,192,170
5743,T08266,1786,199,188,165
5744,T08267,,181,164,129
5745,T08268,1811,170,147,116
5746,T08269,1787,228,221,194
5747,T08270,1753,123,117,101
5748,T08271,1829,207,190,167
5749,T08272,1850,209,187,159
5750,T08273,,228,217,199
5751,T08274,1728,237,223,204
5752,T08275,1750,214,199,173
5753,T08276,1770,184,170,146
5754,T08278,1771,120,108,89
5755,T08279,,229,220,205
5756,T08280,,234,224,207
5757,T08281,,224,214,198
5758,T08282,,218,210,195
5759,T08284,,198,177,152
5760,T08293,,200,190,169
5761,T08295,,170,152,132
5762,T08300,,208,197,177
5763,T08303,,216,208,194
5764,T08305,,234,227,218
5765,T08309,,196,184,167
5766,T08314,,204,195,178
5767,T08316,,229,218,201
5768,T08317,,219,212,194
5769,T08320,,233,226,216
5770,T08325,,212,204,187
5771,T08326,,220,209,193
5772,T08327,,190,174,152
5773,T08330,,215,202,184
5774,T08338,,221,215,204
5775,T08341,,213,205,191
5776,T08350,,243,236,223
5777,T08351,,232,225,211
5778,T08352,,238,230,212
5779,T08358,,236,229,214
5780,T08359,,229,218,198
5781,T08360,,233,224,204
5782,T08379,,240,231,214
5783,T08385,,229,221,203
5784,T08386,,216,206,188
5785,T08394,,218,203,184
5786,T08395,,216,201,179
5787,T08397,,222,211,191
5788,T08399,,207,204,193
5789,T08404,,220,210,192
5790,T08411,,224,216,198
5791,T08415,,209,202,189
5792,T08419,,192,177,155
5793,T08433,,85,75,64
5794,T08434,,208,201,183
5795,T08441,,95,83,68
5796,T08443,,187,172,147
5797,T08444,,64,49,40
5798,T08445,,115,96,73
5799,T08447,1789,189,172,142
5800,T08448,1789,205,190,164
5801,T08449,1789,193,178,154
5802,T08454,1789,217,203,175
5803,T08455,1789,223,208,183
5804,T08461,1770,192,177,148
5805,T08462,1807,236,224,204
5806,T08463,1816,210,197,169
5807,T08464,,161,140,113
5808,T08465,,203,192,170
5809,T08466,,219,201,173
5810,T08467,,194,168,137
5811,T08468,1810,221,209,187
5812,T08469,1788,181,165,143
5813,T08470,1803,224,216,200
5814,T08473,1755,113,92,70
5815,T08474,1785,136,112,78
5816,T08475,,237,230,211
5817,T08476,,208,188,165
5818,T08477,1760,205,185,163
5819,T08478,,206,190,157
5820,T08479,,238,226,193
5821,T08480,,224,221,201
5822,T08481,1795,213,198,173
5823,T08483,1800,221,205,183
5824,T08484,,70,68,50
5825,T08485,,228,225,198
5826,T08486,1777,221,214,197
5827,T08487,,211,203,182
5828,T08488,1778,90,69,51
5829,T08489,1778,187,182,162
5830,T08490,1778,106,83,59
5831,T08491,1778,198,195,177
5832,T08492,1778,108,92,68
5833,T08493,1778,89,75,56
5834,T08494,1778,203,194,167
5835,T08495,1778,198,192,166
5836,T08496,1778,203,205,182
5837,T08497,1778,196,196,174
5838,T08498,1778,88,76,58
5839,T08499,1778,193,201,189
5840,T08500,1778,200,197,177
5841,T08501,1778,194,187,165
5842,T08502,1778,168,162,143
5843,T08503,1778,204,196,174
5844,T08504,1778,107,89,66
5845,T08505,1778,184,178,154
5846,T08506,1778,92,79,59
5847,T08507,1778,196,196,178
5848,T08508,1778,208,205,190
5849,T08509,1778,174,174,156
5850,T08510,1778,206,206,190
5851,T08511,1778,80,69,54
5852,T08512,1750,228,218,199
5853,T08513,,167,150,124
5854,T08514,,207,195,171
5855,T08515,1780,193,176,146
5856,T08516,,219,205,180
5857,T08517,,188,175,151
5858,T08518,,219,191,156
5859,T08519,,95,79,59
5860,T08520,,122,95,69
5861,T08521,,150,123,89
5862,T08522,,154,127,94
5863,T08523,,207,197,175
5864,T08524,,209,210,203
5865,T08525,1865,214,206,191
5866,T08526,,216,205,181
5867,T08527,1778,209,188,161
5868,T08528,,177,147,108
5869,T08529,,184,160,124
5870,T08530,,216,208,192
5871,T08531,,196,175,148
5872,T08532,1799,127,118,102
5873,T08540,,170,140,106
5874,T08541,,176,163,144
5875,T08542,,191,179,153
5876,T08543,,161,150,128
5877,T08544,,161,144,119
5878,T08545,,196,176,147
5879,T08546,,217,202,177
5880,T08548,,202,190,164
5881,T08549,,196,185,161
5882,T08551,,195,169,135
5883,T08552,1781,130,116,95
5884,T08554,,87,75,56
5885,T08555,,89,77,61
5886,T08556,1781,128,126,112
5887,T08557,1781,165,156,136
5888,T08558,1781,213,205,192
5889,T08559,1781,213,217,209
5890,T08560,1781,197,182,153
5891,T08561,,66,57,44
5892,T08562,1781,192,181,164
5893,T08563,1797,128,116,84
5894,T08564,,206,198,181
5895,T08565,,184,175,153
5896,T08566,,188,164,131
5897,T08568,1780,191,176,146
5898,T08569,1781,183,173,149
5899,T08570,1781,83,74,62
5900,T08571,1781,215,206,191
5901,T08572,1792,76,62,47
5902,T08573,1781,192,186,170
5903,T08574,1781,119,106,93
5904,T08575,1778,179,162,132
5905,T08576,,219,205,179
5906,T08577,,80,71,54
5907,T08578,1780,125,118,96
5908,T08579,,121,101,77
5909,T08580,1680,226,210,187
5910,T08581,,215,206,189
5911,T08582,,222,217,200
5912,T08583,,208,191,167
5913,T08585,,117,113,96
5914,T08586,,192,185,162
5915,T08587,,56,62,58
5916,T08588,,179,173,154
5917,T08589,,200,194,175
5918,T08590,1774,180,160,131
5919,T08591,,229,214,190
5920,T08592,,144,135,112
5921,T08593,,131,126,107
5922,T08594,,202,199,179
5923,T08595,,231,225,206
5924,T08599,1835,215,204,184
5925,T08602,1814,241,231,212
5926,T08603,1812,232,212,186
5927,T08604,,75,63,51
5928,T08605,1782,185,145,100
5929,T08606,1782,66,49,35
5930,T08607,,74,58,44
5931,T08608,1728,199,184,162
5932,T08609,,203,193,171
5933,T08610,,57,48,35
5934,T08620,,225,206,184
5935,T08621,,226,206,180
5936,T08622,,200,187,164
5937,T08624,,236,229,212
5938,T08630,,74,75,68
5939,T08632,,86,76,64
5940,T08633,,202,188,165
5941,T08634,,203,190,167
5942,T08638,,184,171,147
5943,T08639,,212,196,172
5944,T08642,,73,79,72
5945,T08643,,144,129,110
5946,T08644,,156,144,122
5947,T08645,,214,200,175
5948,T08646,,194,177,152
5949,T08647,,133,107,77
5950,T08648,,28,23,20
5951,T08649,,110,104,81
5952,T08669,,215,203,181
5953,T08671,,204,183,159
5954,T08672,,231,222,197
5955,T08674,,181,178,155
5956,T08675,,151,149,126
5957,T08676,,219,212,189
5958,T08677,,179,181,161
5959,T08678,,200,192,167
5960,T08679,,209,203,180
5961,T08680,,197,191,160
5962,T08681,,206,190,165
5963,T08690,,219,208,191
5964,T08707,,233,226,208
5965,T08720,,216,208,184
5966,T08721,,100,82,65
5967,T08722,,190,170,146
5968,T08723,,144,127,110
5969,T08729,1819,203,199,182
5970,T08730,,200,188,164
5971,T08731,,201,197,177
5972,T08732,1802,171,153,124
5973,T08733,,107,83,62
5974,T08734,,128,141,140
5975,T08735,,209,192,166
5976,T08736,,91,69,49
5977,T08738,1803,215,199,176
5978,T08740,,199,189,165
5979,T08744,,221,196,161
5980,T08745,,216,199,173
5981,T08746,,218,201,176
5982,T08747,,115,89,69
5983,T08749,,168,145,112
5984,T08750,1833,200,193,178
5985,T08751,,119,115,86
5986,T08752,,169,141,114
5987,T08754,,213,200,178
5988,T08758,,209,189,156
5989,T08760,,155,116,75
5990,T08761,1817,172,162,133
5991,T08762,,76,83,87
5992,T08765,1800,179,171,153
5993,T08766,,198,173,146
5994,T08767,,200,175,146
5995,T08768,,103,87,72
5996,T08769,,134,114,89
5997,T08770,,196,170,143
5998,T08771,,168,157,140
5999,T08772,,128,100,65
6000,T08773,,222,214,197
6001,T08774,,230,218,199
6002,T08775,,209,200,182
6003,T08776,,199,177,151
6004,T08777,,195,176,145
6005,T08778,,157,136,112
6006,T08779,,204,183,154
6007,T08780,,198,179,151
6008,T08781,,192,174,148
6009,T08782,,205,186,159
6010,T08783,,203,185,158
6011,T08784,,196,177,149
6012,T08785,,172,149,123
6013,T08786,,224,204,175
6014,T08787,,205,185,157
6015,T08788,,217,202,176
6016,T08789,,218,198,168
6017,T08792,,194,187,159
6018,T08793,,210,194,166
6019,T08795,,190,162,128
6020,T08796,,203,190,161
6021,T08806,,214,195,166
6022,T08807,,203,182,153
6023,T08808,,118,99,79
6024,T08809,,190,175,142
6025,T08813,,187,160,110
6026,T08814,,102,82,63
6027,T08815,1746,138,76,47
6028,T08816,,136,101,63
6029,T08818,,183,137,93
6030,T08819,1829,124,76,51
6031,T08820,1745,204,188,163
6032,T08821,,128,99,68
6033,T08822,,109,93,74
6034,T08824,,190,161,123
6035,T08825,,202,166,126
6036,T08826,,156,125,95
6037,T08827,,235,219,193
6038,T08828,,184,187,170
6039,T08829,,223,207,182
6040,T08830,1800,85,72,52
6041,T08831,,190,143,100
6042,T08832,,169,133,89
6043,T08833,,170,141,102
6044,T08834,,197,177,150
6045,T08836,1805,135,105,76
6046,T08837,,188,173,145
6047,T08838,,220,205,180
6048,T08839,,133,78,45
6049,T08840,,168,119,80
6050,T08841,,165,115,66
6051,T08842,,152,108,78
6052,T08843,,123,95,61
6053,T08844,,199,187,163
6054,T08845,,79,67,57
6055,T08846,,154,110,69
6056,T08847,,62,44,29
6057,T08848,,153,112,76
6058,T08851,,118,67,32
6059,T08852,,207,179,137
6060,T08856,,154,134,106
6061,T08857,,140,120,95
6062,T08859,,96,67,48
6063,T08861,,111,59,39
6064,T08862,,201,180,150
6065,T08863,,107,90,75
6066,T08864,,178,161,137
6067,T08865,,196,183,162
6068,T08866,,81,54,36
6069,T08867,,193,170,135
6070,T08868,,148,129,101
6071,T08869,,139,117,91
6072,T08870,,238,229,214
6073,T08873,,187,173,151
6074,T08874,,221,213,199
6075,T08875,1782,108,74,49
6076,T08877,,227,216,196
6077,T08880,1774,167,146,113
6078,T08882,1853,175,158,134
6079,T08883,1787,168,139,103
6080,T08884,,208,189,163
6081,T08886,1790,192,176,146
6082,T08888,,83,74,55
6083,T08891,1766,174,153,123
6084,T08895,,82,67,49
6085,T08897,1837,210,199,180
6086,T08898,,219,206,190
6087,T08899,,200,184,167
6088,T08900,,209,198,179
6089,T08904,,208,192,160
6090,T08905,,198,181,158
6091,T08907,1799,140,120,84
6092,T08908,,201,176,145
6093,T08909,,100,75,57
6094,T08910,,194,175,139
6095,T08912,,216,205,178
6096,T08914,,136,100,68
6097,T08915,,93,79,60
6098,T08918,,224,208,181
6099,T08919,,110,96,79
6100,T08921,1741,224,207,180
6101,T08922,,219,194,158
6102,T08923,,238,225,205
6103,T08932,,177,151,123
6104,T08935,,161,140,110
6105,T08936,1774,228,214,186
6106,T08938,,212,201,179
6107,T08939,,195,173,143
6108,T08940,,233,227,206
6109,T08941,,116,99,64
6110,T08942,,207,197,167
6111,T08943,,211,203,179
6112,T08944,,204,195,178
6113,T08945,,178,152,128
6114,T08946,,179,161,135
6115,T08947,1851,165,155,129
6116,T08949,1851,180,159,124
6117,T08950,,171,153,124
6118,T08951,1813,90,75,56
6119,T08956,,229,221,203
6120,T08958,,204,185,149
6121,T09022,1866,206,205,187
6122,T09023,1866,139,158,161
6123,T09026,1863,170,154,115
6124,T09027,1865,133,143,128
6125,T09028,1861,103,116,110
6126,T09029,1865,144,152,134
6127,T09030,1862,155,155,122
6128,T09031,,165,166,157
6129,T09032,1862,190,169,137
6130,T09033,1865,187,184,171
6131,T09034,,77,90,80
6132,T09035,1863,210,186,169
6133,T09036,1861,178,179,160
6134,T09037,,169,154,129
6135,T09038,1861,152,158,143
6136,T09039,,130,121,98
6137,T09040,1861,112,114,100
6138,T09041,,194,182,140
6139,T09042,,149,130,96
6140,T09043,,121,111,86
6141,T09044,,221,210,187
6142,T09045,,127,153,146
6143,T09046,,162,154,120
6144,T09047,,121,110,91
6145,T09048,1861,140,122,89
6146,T09049,,171,157,121
6147,T09050,1859,121,114,84
6148,T09051,,172,151,112
6149,T09052,1855,149,147,120
6150,T09053,,223,214,192
6151,T09054,1862,105,98,79
6152,T09055,1864,216,212,189
6153,T09056,,192,181,153
6154,T09059,,115,116,111
6155,T09065,1828,172,150,120
6156,T09066,1796,198,185,162
6157,T09068,,153,137,111
6158,T09069,,79,60,45
6159,T09073,,122,105,75
6160,T09078,,170,164,149
6161,T09079,,198,182,160
6162,T09086,,215,206,183
6163,T09087,,153,158,142
6164,T09100,,187,168,151
6165,T09102,,201,195,175
6166,T09103,,187,179,161
6167,T09113,,186,172,148
6168,T09114,,150,123,89
6169,T09115,,211,192,159
6170,T09116,,154,146,129
6171,T09117,,104,88,75
6172,T09119,,164,145,114
6173,T09122,,214,198,166
6174,T09124,,183,166,129
6175,T09126,,195,191,170
6176,T09128,1800,215,199,170
6177,T09129,,84,74,60
6178,T09130,,160,133,102
6179,T09132,,196,177,157
6180,T09133,,148,128,102
6181,T09135,1824,206,188,155
6182,T09137,,184,177,153
6183,T09138,,208,193,160
6184,T09139,1839,191,172,143
6185,T09141,1851,203,186,158
6186,T09142,,191,169,141
6187,T09143,,204,189,162
6188,T09144,,103,90,77
6189,T09145,,112,114,95
6190,T09147,1787,215,209,190
6191,T09148,,190,188,174
6192,T09150,1806,210,198,171
6193,T09151,1800,83,62,43
6194,T09153,,220,205,180
6195,T09154,,218,209,186
6196,T09155,,234,227,205
6197,T09156,,212,188,154
6198,T09159,,219,208,182
6199,T09161,,225,221,204
6200,T09167,,220,208,185
6201,T09170,,176,154,119
6202,T09171,,148,129,104
6203,T09175,,223,211,186
6204,T09183,,216,204,183
6205,T09186,,222,215,197
6206,T09188,,203,179,145
6207,T09191,,219,206,189
6208,T09192,,230,219,202
6209,T09194,,219,206,188
6210,T09197,,207,187,156
6211,T09199,,193,173,143
6212,T09201,,171,145,118
6213,T09202,,223,209,184
6214,T09203,,213,198,173
6215,T09204,,220,208,185
6216,T09206,1853,190,167,137
6217,T09208,,206,191,174
6218,T09209,,206,187,158
6219,T09211,,231,221,202
6220,T09213,,228,217,199
6221,T09214,1871,178,171,152
6222,T09215,1871,153,148,133
6223,T09217,,53,43,31
6224,T09218,,195,185,166
6225,T09224,,194,186,166
6226,T09225,,179,160,132
6227,T09228,,133,118,98
6228,T09230,,153,132,110
6229,T09231,,205,199,178
6230,T09233,,185,164,133
6231,T09238,,212,199,173
6232,T09240,,198,187,169
6233,T09241,,145,135,104
6234,T09242,,211,206,185
6235,T09244,,195,188,166
6236,T09245,,184,170,135
6237,T09248,,208,192,164
6238,T09249,,207,191,159
6239,T09253,,134,126,102
6240,T09254,,143,130,109
6241,T09256,,187,172,146
6242,T09257,,196,181,158
6243,T09258,,206,188,159
6244,T09259,1831,76,69,53
6245,T09260,,135,121,102
6246,T09261,,131,113,82
6247,T09262,1783,196,190,160
6248,T09263,,175,160,124
6249,T09264,,237,225,194
6250,T09265,,212,199,163
6251,T09266,,152,144,116
6252,T09267,,216,196,154
6253,T09268,,166,142,110
6254,T09269,,141,130,100
6255,T09270,,194,172,132
6256,T09271,1778,190,173,144
6257,T09272,,218,205,174
6258,T09273,,221,207,179
6259,T09274,,218,200,170
6260,T09275,,132,126,107
6261,T09276,,100,82,64
6262,T09278,,195,165,125
6263,T09279,,212,183,144
6264,T09280,,181,166,145
6265,T09284,1719,158,140,114
6266,T09285,,115,114,101
6267,T09286,,66,54,39
6268,T09287,,148,115,87
6269,T09288,,227,216,189
6270,T09290,,216,208,187
6271,T09292,,161,152,126
6272,T09293,,225,214,196
6273,T09294,,197,188,167
6274,T09295,,168,152,122
6275,T09300,,151,143,123
6276,T09304,,197,185,159
6277,T09305,1840,200,180,149
6278,T09306,,167,149,130
6279,T09312,,202,191,167
6280,T09313,,208,191,167
6281,T09314,,184,166,137
6282,T09321,1804,88,75,60
6283,T09322,,206,196,178
