,accession_number,year,r,g,b
2806,D27560,1835,236,230,209
2807,D27561,1835,242,234,216
2808,D27562,1835,218,208,187
2809,D27563,1826,242,235,219
2810,D27564,1835,227,223,208
2811,D27565,1835,239,232,213
2812,D27566,1835,214,200,179
2813,D27567,1835,238,229,210
2814,D27568,1835,235,230,213
2815,D27569,1835,234,227,203
2816,D27570,1835,238,231,211
2817,D27571,1835,203,200,187
2818,D27572,1826,242,235,218
2819,D27573,1835,221,211,190
2820,D27574,1835,234,228,212
2821,D27575,1835,221,213,196
2822,D27576,1835,239,233,217
2823,D27577,1835,243,237,220
2824,D27578,1830,207,203,190
2825,D27579,1835,216,207,187
2826,D27580,1835,234,228,211
2827,D27581,1835,215,205,186
2828,D27582,1830,215,206,187
2829,D27583,1835,240,232,215
2830,D27584,1835,241,230,208
2831,D27585,1835,237,227,210
2832,D27586,1835,241,234,216
2833,D27587,1835,223,209,188
2834,D27588,1835,237,231,213
2835,D27589,1835,236,229,208
2836,D27590,1834,240,235,217
2837,D27591,1835,235,225,204
2838,D27592,1835,223,217,196
2839,D27593,1835,238,231,210
2840,D27594,1837,224,217,196
2841,D27595,1841,214,199,187
2842,D27596,1841,206,185,171
2843,D27597,1834,246,241,230
2844,D27598,1842,236,223,199
2845,D27599,1837,226,219,198
2846,D27600,1841,210,195,176
2847,D27601,1832,236,225,201
2848,D27602,1841,213,202,192
2849,D27603,1825,217,202,177
2850,D27604,1826,232,226,207
2851,D27605,1826,226,221,201
2852,D27606,1826,212,195,165
2853,D27607,1830,236,227,212
2854,D27608,1830,231,230,217
2855,D27609,1826,230,223,205
2856,D27610,1830,231,220,196
2857,D27611,1830,234,221,197
2858,D27612,1826,234,228,217
2859,D27613,1832,236,219,189
2860,D27614,1834,222,209,183
2861,D27615,1832,232,215,187
2862,D27616,1830,230,223,204
2863,D27617,1830,227,219,207
2864,D27618,1826,234,229,209
2865,D27619,1826,231,223,200
2866,D27620,1826,231,230,218
2867,D27621,1826,233,225,202
2868,D27622,1826,229,224,202
2869,D27623,1826,229,223,202
2870,D27624,1826,230,223,198
2871,D27625,1830,235,228,203
2872,D27628,1827,134,144,138
2873,D27630,1837,219,212,192
2874,D27631,1837,221,216,198
2875,D27632,1837,220,213,194
2876,D27633,1837,217,210,192
2877,D27634,1837,218,213,197
2878,D27635,1834,214,200,173
2879,D27636,1837,214,205,182
2880,D27637,1837,214,208,189
2881,D27638,1835,226,218,203
2882,D27639,1835,229,223,210
2883,D27640,1839,216,210,193
2884,D27641,1837,227,221,205
2885,D27642,1837,215,207,186
2886,D27643,1837,201,195,178
2887,D27644,1837,197,189,170
2888,D27645,1837,209,202,188
2889,D27646,1837,200,191,173
2890,D27647,1836,206,198,182
2891,D27648,1837,205,197,178
